href_value,contact_id,scrapped
https://app.nomination.fr/contact/393762,393762,False
https://app.nomination.fr/contact/393793,393793,False
https://app.nomination.fr/contact/394983,394983,False
https://app.nomination.fr/contact/395581,395581,False
https://app.nomination.fr/contact/395728,395728,False
https://app.nomination.fr/contact/395808,395808,False
https://app.nomination.fr/contact/396737,396737,False
https://app.nomination.fr/contact/396833,396833,False
https://app.nomination.fr/contact/396834,396834,False
https://app.nomination.fr/contact/396840,396840,False
https://app.nomination.fr/contact/397337,397337,False
https://app.nomination.fr/contact/397937,397937,False
https://app.nomination.fr/contact/398691,398691,False
https://app.nomination.fr/contact/400442,400442,False
https://app.nomination.fr/contact/402287,402287,False
https://app.nomination.fr/contact/402289,402289,False
https://app.nomination.fr/contact/402431,402431,False
https://app.nomination.fr/contact/402446,402446,False
https://app.nomination.fr/contact/402588,402588,False
https://app.nomination.fr/contact/404866,404866,False
https://app.nomination.fr/contact/406015,406015,False
https://app.nomination.fr/contact/407501,407501,False
https://app.nomination.fr/contact/411402,411402,False
https://app.nomination.fr/contact/411555,411555,False
https://app.nomination.fr/contact/411651,411651,False
https://app.nomination.fr/contact/412470,412470,False
https://app.nomination.fr/contact/412697,412697,False
https://app.nomination.fr/contact/412710,412710,False
https://app.nomination.fr/contact/413223,413223,False
https://app.nomination.fr/contact/413420,413420,False
https://app.nomination.fr/contact/416122,416122,False
https://app.nomination.fr/contact/416700,416700,False
https://app.nomination.fr/contact/416781,416781,False
https://app.nomination.fr/contact/416978,416978,False
https://app.nomination.fr/contact/417156,417156,False
https://app.nomination.fr/contact/417339,417339,False
https://app.nomination.fr/contact/417353,417353,False
https://app.nomination.fr/contact/418212,418212,False
https://app.nomination.fr/contact/418213,418213,False
https://app.nomination.fr/contact/420515,420515,False
https://app.nomination.fr/contact/420517,420517,False
https://app.nomination.fr/contact/420540,420540,False
https://app.nomination.fr/contact/420848,420848,False
https://app.nomination.fr/contact/421028,421028,False
https://app.nomination.fr/contact/421177,421177,False
https://app.nomination.fr/contact/421179,421179,False
https://app.nomination.fr/contact/421180,421180,False
https://app.nomination.fr/contact/423024,423024,False
https://app.nomination.fr/contact/424434,424434,False
https://app.nomination.fr/contact/426194,426194,False
https://app.nomination.fr/contact/427927,427927,False
https://app.nomination.fr/contact/428252,428252,False
https://app.nomination.fr/contact/428867,428867,False
https://app.nomination.fr/contact/429799,429799,False
https://app.nomination.fr/contact/429815,429815,False
https://app.nomination.fr/contact/433744,433744,False
https://app.nomination.fr/contact/434355,434355,False
https://app.nomination.fr/contact/435159,435159,False
https://app.nomination.fr/contact/437072,437072,False
https://app.nomination.fr/contact/437409,437409,False
https://app.nomination.fr/contact/437849,437849,False
https://app.nomination.fr/contact/440022,440022,False
https://app.nomination.fr/contact/440420,440420,False
https://app.nomination.fr/contact/444895,444895,False
https://app.nomination.fr/contact/448419,448419,False
https://app.nomination.fr/contact/448946,448946,False
https://app.nomination.fr/contact/449644,449644,False
https://app.nomination.fr/contact/449890,449890,False
https://app.nomination.fr/contact/450529,450529,False
https://app.nomination.fr/contact/450659,450659,False
https://app.nomination.fr/contact/451519,451519,False
https://app.nomination.fr/contact/451907,451907,False
https://app.nomination.fr/contact/453034,453034,False
https://app.nomination.fr/contact/453210,453210,False
https://app.nomination.fr/contact/453345,453345,False
https://app.nomination.fr/contact/453572,453572,False
https://app.nomination.fr/contact/453586,453586,False
https://app.nomination.fr/contact/453629,453629,False
https://app.nomination.fr/contact/453929,453929,False
https://app.nomination.fr/contact/454199,454199,False
https://app.nomination.fr/contact/454355,454355,False
https://app.nomination.fr/contact/454470,454470,False
https://app.nomination.fr/contact/454490,454490,False
https://app.nomination.fr/contact/455195,455195,False
https://app.nomination.fr/contact/455231,455231,False
https://app.nomination.fr/contact/455500,455500,False
https://app.nomination.fr/contact/455693,455693,False
https://app.nomination.fr/contact/455726,455726,False
https://app.nomination.fr/contact/456104,456104,False
https://app.nomination.fr/contact/456173,456173,False
https://app.nomination.fr/contact/456269,456269,False
https://app.nomination.fr/contact/456290,456290,False
https://app.nomination.fr/contact/456710,456710,False
https://app.nomination.fr/contact/456935,456935,False
https://app.nomination.fr/contact/457579,457579,False
https://app.nomination.fr/contact/457694,457694,False
https://app.nomination.fr/contact/459159,459159,False
https://app.nomination.fr/contact/459268,459268,False
https://app.nomination.fr/contact/459688,459688,False
https://app.nomination.fr/contact/461034,461034,False
https://app.nomination.fr/contact/461162,461162,False
https://app.nomination.fr/contact/461548,461548,False
https://app.nomination.fr/contact/461651,461651,False
https://app.nomination.fr/contact/461674,461674,False
https://app.nomination.fr/contact/461693,461693,False
https://app.nomination.fr/contact/461895,461895,False
https://app.nomination.fr/contact/462083,462083,False
https://app.nomination.fr/contact/464027,464027,False
https://app.nomination.fr/contact/465905,465905,False
https://app.nomination.fr/contact/470193,470193,False
https://app.nomination.fr/contact/471089,471089,False
https://app.nomination.fr/contact/472561,472561,False
https://app.nomination.fr/contact/473067,473067,False
https://app.nomination.fr/contact/473097,473097,False
https://app.nomination.fr/contact/473386,473386,False
https://app.nomination.fr/contact/473615,473615,False
https://app.nomination.fr/contact/474174,474174,False
https://app.nomination.fr/contact/474884,474884,False
https://app.nomination.fr/contact/475320,475320,False
https://app.nomination.fr/contact/476474,476474,False
https://app.nomination.fr/contact/476827,476827,False
https://app.nomination.fr/contact/477322,477322,False
https://app.nomination.fr/contact/477413,477413,False
https://app.nomination.fr/contact/478374,478374,False
https://app.nomination.fr/contact/480152,480152,False
https://app.nomination.fr/contact/480512,480512,False
https://app.nomination.fr/contact/481581,481581,False
https://app.nomination.fr/contact/482072,482072,False
https://app.nomination.fr/contact/482610,482610,False
https://app.nomination.fr/contact/482792,482792,False
https://app.nomination.fr/contact/482882,482882,False
https://app.nomination.fr/contact/482917,482917,False
https://app.nomination.fr/contact/482982,482982,False
https://app.nomination.fr/contact/483192,483192,False
https://app.nomination.fr/contact/483248,483248,False
https://app.nomination.fr/contact/483651,483651,False
https://app.nomination.fr/contact/484747,484747,False
https://app.nomination.fr/contact/485027,485027,False
https://app.nomination.fr/contact/485045,485045,False
https://app.nomination.fr/contact/485146,485146,False
https://app.nomination.fr/contact/488967,488967,False
https://app.nomination.fr/contact/489229,489229,False
https://app.nomination.fr/contact/489241,489241,False
https://app.nomination.fr/contact/492216,492216,False
